student_id,question_number,answer_text,marks_obtained,grade
S026,3,"Properties affecting performance: size, shape, surface charge, stability, optical properties, conductivity. Smaller nanomaterials have larger surface area. Different materials suit different applications.",1.0,D
S026,4,LOD = 3.3 × (standard deviation of blank measured) / (slope of calibration line). It represents the lowest measurable concentration. Used to determine biosensor sensitivity.,2.0,C
S027,1,"Nanomaterials enhance sensitivity by providing more sites for antibody attachment. Specificity is improved because the nanoparticles can be functionalized with specific ligands. The advantages are: enhanced sensitivity, improved specificity, faster response time, broader dynamic range, reduced interference, and cost effectiveness.",2.5,B
S027,2,"The biofunctionalization process involves: 1) Surface modification with thiol groups 2) Attachment of biomolecules like antibodies 3) Verification of binding. Strategies to reduce interference: use blocking agents, selective detection methods, control experiments.",2.0,C
S027,3,"For cancer biomarker detection, spherical AuNPs with 20-30nm size are suitable. Surface functionalized with thiol groups for antibody attachment. Known stability under physiological conditions.",1.0,D
S027,4,LOD (Limit of Detection) is calculated based on standard deviation of the response and slope of calibration curve. LOD = 3 × SD of lowest concentration / slope. Used to evaluate detection capability.,1.5,C
S028,1,Signal amplification in nanomaterial-based systems occurs because the high surface area to volume ratio allows for efficient immobilization of biomolecules. The colorimetric signal from TMB oxidation is more intense with nanoparticles.,3.0,B
S028,2,AuNPs are functionalized by conjugating anti-neuraminidase antibodies to thiolated AuNPs. This provides high specificity due to antigen-antibody interaction. The sensor can detect target viruses specifically.,3.5,A
S028,3,"Nanomaterial selection: consider target analyte (DNA, protein, small molecule), antibody compatibility, desired detection method (optical, electrochemical), signal amplification needs.",2.0,C
S028,4,"Definition: LOD is the minimum concentration reliably detected. Calculation: measure blanks (n≥20), calculate SD, apply formula LOD = 3×SD/slope. Significance: determines analytical sensitivity.",1.5,C
S029,1,TMB is oxidized by nanomaterials faster than by HRP. The blue color produced is more intense. This makes detection easier.,3.5,A
S029,2,Achieving specificity involves using specific recognition elements like antibodies. These are highly selective for target molecules. Interference is minimized through blocking agents and washing steps.,2.5,B
S029,3,"The criteria include: size and surface area (larger area for immobilization), shape (affects binding geometry), surface chemistry (ease of conjugation), biocompatibility (no cell toxicity).",2.5,B
S029,4,The LOD determines the lowest analyte concentration that can be reliably detected but not quantified precisely. Formula uses statistical approach with 3x or 3.3x factor.,3.0,B
S030,1,"The mechanisms involve enhanced surface area, signal amplification, improved stability, reduced non-specific interactions and tunable properties. Nanoparticles like AuNPs and graphene oxide can significantly enhance the colorimetric signal.",1.5,C
S030,2,Biofunctionalization makes AuNPs into biosensors. The surface is modified to bind target molecules specifically. Cross-reactivity is avoided through careful choice of recognition elements.,2.0,C
S030,3,"Physicochemical properties: size affects sensitivity, surface chemistry affects specificity, stability ensures reliability, optical properties enable detection.",1.5,C
S030,4,LOD is a statistical measure. Formula: LOD = 3 × (standard deviation of baseline) / (slope of calibration line). Shows lowest detectable concentration.,1.5,C
S031,1,Nanomaterials provide high surface area for enzyme immobilization. This increases the number of enzyme molecules available for the reaction. More enzymes means more TMB oxidation and stronger color signal.,3.5,A
S031,2,"AuNPs can be functionalized with antibodies, DNA, or other biomolecules. This confers selectivity. Specificity depends on the binding affinity of the recognition element chosen.",3.0,B
S031,3,"Most important criteria: biocompatibility, size and surface area, stability, optical properties. Example: Quantum dots with tunable fluorescence for sensitive detection.",3.0,B
S031,4,LOD definition is given. Calculated using LOD = 3 × SD / slope. Important for knowing detection sensitivity of biosensor method.,2.0,C
S032,1,"Advantages include: better sensitivity because of signal amplification, improved specificity through functionalization with antibodies, better stability than HRP, miniaturization possible, and lower cost. The nanomaterials act as catalytic centers.",3.5,A
S032,2,Surface modification of AuNPs is achieved through thiol chemistry. Au-S bond is very strong. This allows stable attachment of biomolecules.,3.0,B
S032,3,Size directly correlates with surface area. Smaller particles = higher surface area = more antibody immobilization = higher sensitivity.,2.5,B
S032,4,Limit of Detection defined as minimum detectable concentration. Formula involves standard deviation and slope. The 3x factor is based on statistical consideration.,3.0,B
S033,1,Colorimetric detection using TMB and nanomaterials is superior because the nanoparticles catalyze the reaction. The blue color is more visible and can be detected easier. Also the assay is faster.,2.0,C
S033,2,"Strategies to enhance selectivity: use specific antibodies, employ blocking agents, use signal amplification, implement multiplexing, pre-treat samples, optimize conditions.",1.5,C
S033,3,Surface chemistry impacts the ease of attaching biomolecules. Different functional groups suit different conjugation strategies. Stability under assay conditions is critical.,1.5,C
S033,4,LOD tells us sensitivity of measurement method. Calculated as LOD = 3.3 × SD of blank / slope. Different for each instrument.,3.0,B
S034,1,"Nanoparticles increase sensitivity through catalytic activity. They improve specificity by selective functionalization. The signal is amplified due to the high surface area. Advantages: enhanced sensitivity, improved specificity, stability, miniaturization, cost-effectiveness.",1.0,D
S034,2,"Biofunctionalization steps: synthesis of AuNPs, surface modification with thiol groups, activation of thiol groups, coupling with biomolecules, purification, characterization, application.",4.0,A
S034,3,"Selecting appropriate nanomaterial requires considering: the target molecule characteristics, antibody type being used, detection method chosen, desired sensitivity level.",1.0,D
S034,4,LOD is minimum analyte concentration detectable. Using formula with standard deviation and slope. The value depends on noise and signal response.,1.0,D
S035,1,The nanomaterials enhance the oxidation of TMB compared to HRP enzyme. Surface area is larger so more binding sites. Catalytic properties are better.,1.5,C
S035,2,The binding specificity is enhanced by using well-chosen recognition elements like antibodies. Optimization of conditions also improves specificity. Cross-reactivity can be reduced.,3.5,A
S035,3,"Nanomaterial properties: size (20-100nm optimal), shape (spherical preferred), surface chemistry (functionalized with thiol or amino groups), stability (in pH 4-8 range).",1.5,C
S035,4,"Significance of LOD: it provides the detection limit, helps compare different biosensor methods, indicates measurement system capability.",3.0,B
S036,1,"Signal amplification mechanisms: electrochemical amplification, colorimetric amplification where nanoparticles serve as catalytic centers, improved stability. This is better than traditional HRP-based biosensors.",3.0,B
S036,2,AuNPs functionalized with antibodies can selectively bind antigens. The antigen-antibody interaction is specific. False positives are reduced through control experiments.,1.0,D
S036,3,"For antibody-based biosensing: choose nanoparticles with high biocompatibility, suitable surface for antibody conjugation, stability in physiological conditions.",2.5,B
S036,4,LOD very important. It tells lowest concentration can detect. Using standard deviation and slope of calibration for calculation.,3.0,B
S037,1,Nanoparticles like gold have high surface area. They can immobilize many biomolecules. This increases detection sensitivity. TMB oxidation produces blue color which is easy to detect visually or with optical methods.,3.0,B
S037,2,"Biofunctionalization through: attachment of biomolecules to AuNP surface, use of thiol chemistry for strong bonding, selection of specific recognition elements. Interference reduced by: blocking non-specific sites.",2.5,B
S037,3,"Factors affecting performance: nanomaterial size, surface area available, charge on surface, chemical reactivity, resistance to degradation.",3.0,B
S037,4,"LOD definition given, formula mentioned as LOD = 3 × SD / slope. Used for assessing analytical method sensitivity.",2.0,C
S038,1,Nanomaterials are better because they have catalytic properties. The large surface area allows more immobilization of recognition elements. The color change is more intense.,3.0,B
S038,2,"To achieve specificity: choose highly specific antibodies, use molecular imprinting, employ dual recognition with multiple elements, add blocking agents, use sample pre-treatment.",4.0,A
S038,3,Quantum dots show excellent properties for biosensing due to tunable fluorescence. Carbon nanotubes offer versatile surface chemistry. Gold nanoparticles are stable and easy to functionalize.,1.0,D
S038,4,The LOD is the minimum concentration that can be detected. It's calculated from blank sample variability and instrument response. Important for analytical method validation.,1.0,D
S039,1,Enhanced sensitivity comes from the high surface area-to-volume ratio of nanoparticles. This allows immobilization of more enzyme molecules. Signal amplification is achieved through catalytic activity of the nanoparticles.,3.5,A
S039,2,"AuNP biofunctionalization achieved by thiolation followed by antibody conjugation. Specificity from antigen-antibody recognition. Strategies: blocking, washing, signal amplification.",3.0,B
S039,3,"Key considerations: size (determines surface area and sensitivity), material composition (affects optical/electrical properties), surface modification ease, cost and availability.",4.0,A
S039,4,LOD = 3 × standard deviation of lowest concentration / slope of calibration line. This gives the detection limit of the method.,2.0,C
S040,1,TMB and nanomaterials combination works well. The nanoparticles catalyze the oxidation reaction. This produces a strong blue color that can be detected easily even at low concentrations of analyte.,4.0,A
S040,2,Biofunctionalization process involves modifying gold surface with biologically active molecules. These bind target molecules selectively. Interference minimized through experimental design.,3.5,A
S040,3,"Selection criteria: compatibility with antibodies, ability to amplify signal, stability in storage and assay, biocompatibility for biological systems.",2.0,C
S040,4,Definition: lowest detectable concentration. Calculation: standard deviation approach. Significance: measures method sensitivity and detection capability.,1.0,D
S041,1,The advantages of nanomaterial-based TMB biosensors: 1) Enhanced sensitivity 2) Improved specificity 3) Stability 4) Lower cost 5) Miniaturization 6) Portability. The mechanisms involve surface area and catalytic properties.,2.0,C
S041,2,"Specific binding achieved through: complementary interaction between functionalized AuNPs and target, optimized conditions, and proper blocking of unreactive sites.",2.5,B
S041,3,"Physicochemical properties include: size (affects sensitivity), surface area (affects binding capacity), shape (affects field distribution), electrical properties (for conductivity-based detection).",1.5,C
S041,4,LOD is lowest amount detectible.,3.0,B
S042,1,Nanomaterials provide more surface area compared to traditional methods. This means more antibodies can bind. The specificity is high because functionalization with specific ligands. The signal is stronger because nanoparticles amplify it.,1.0,D
S042,2,AuNPs functionalized with antibodies provide specific binding. The high affinity and selectivity of antibodies ensure specificity. Interference from non-target molecules is minimized.,3.5,A
S042,3,Size matters. Smaller is better for sensitivity. That's the main factor.,3.5,A
S042,4,LOD = 3 times SD divided by slope. It's the detection limit.,2.0,C
S043,1,Colorimetric biosensors using nanomaterials for TMB oxidation enhance sensitivity by providing more binding sites and improving catalytic activity. Specificity is improved by functionalizing nanoparticles with specific recognition elements like antibodies.,3.0,B
S043,2,Simple answer. AuNPs bind to targets through antibodies. This is specific.,4.0,A
S043,3,Surface chemistry affects how antibodies attach. Stability is important. Size affects sensitivity.,1.5,C
S043,4,Limit of Detection is minimum concentration. Formula uses SD and slope. Important for biosensor sensitivity.,1.0,D
S044,1,Short answer but not complete understanding shown. TMB is oxidized faster by nanomaterials.,4.0,A
S044,2,Biofunctionalization means attaching antibodies to gold. The antibodies bind target molecules specifically.,3.5,A
S044,3,"Nanomaterial properties important for performance: size, shape, surface chemistry. These affect how well antibodies bind and detect targets.",2.0,C
S044,4,LOD definition: minimum detectable concentration. Formula: LOD = 3 × SD / slope of calibration.,1.5,C
S045,1,Nanomaterials work better. The reason is the high surface area. More enzyme can be attached. Better sensitivity.,1.5,C
S045,2,AuNPs are modified with thiol groups then antibodies. This gives specificity through antibody-antigen binding.,2.0,C
S045,3,"Criteria for selection: size and shape, surface chemical groups, stability in physiological conditions, optical or electrical properties for detection.",4.0,A
S045,4,"Significance of LOD: tells you detection limits, helps validate methods, compares sensors.",1.5,C
S046,1,The nanoparticles catalyze TMB oxidation producing blue color. This is detected easily. The system is more sensitive and specific than HRP.,3.0,B
S046,2,"Achieving specificity: use antibodies for recognition, block non-specific sites, use controls, optimize pH and conditions.",4.0,A
S046,3,Biocompatibility important to avoid toxicity. Surface area determines antibody loading. Stability ensures consistent results.,3.0,B
S046,4,"LOD is the limit of detection, the minimum concentration of analyte that can be reliably detected but not quantified. Calculated as LOD = 3 × (standard deviation of blank) / slope of calibration curve. It's significant because it tells us the sensitivity of the method.",1.0,D
S047,1,"Sensitivity enhanced through: signal amplification from catalytic properties. Specificity improved through: selective functionalization. Advantages: faster response, broader range, reduced interference.",3.0,B
S047,2,Biofunctionalization through thiol chemistry. Specificity through selective antibody binding. Interference reduced by blocking and washing.,2.0,C
S047,3,Size and surface area of nanomaterials directly affect sensitivity. Smaller particles have larger surface area for antibody immobilization. Shape also affects orientation of antibodies.,2.5,B
S047,4,Limit of Detection is the lowest concentration detectable. Formula: LOD = 3.3 × SD of blank / slope. This is important for knowing the detection capability of the biosensor.,1.0,D
S048,1,Gold nanoparticles and graphene oxide can enhance the sensitivity of TMB-based colorimetric biosensors. The catalytic activity is increased. The color change is more intense and easily detectable.,1.0,D
S048,2,Biofunctionalization of AuNPs involves modifying the surface with biomolecules. This is done through thiol chemistry where thiolated molecules bind to gold surface. The specificity comes from antibody-antigen interactions.,2.0,C
S048,3,"Physicochemical properties like size, surface chemistry, stability affect performance. Smaller nanoparticles provide higher surface area for antibody attachment. This improves sensitivity.",4.0,A
S048,4,LOD represents the lowest analyte concentration that can be reliably detected. Calculated using the formula LOD = 3 × SD of lowest concentration / slope of calibration line. Determines the sensitivity limit.,2.0,C
S049,1,Nanomaterials like gold nanoparticles have high surface area which allows more enzyme molecules to be immobilized. This increases sensitivity. Also the catalytic activity is enhanced leading to faster oxidation of TMB.,1.5,C
S049,2,AuNPs are functionalized by attaching antibodies to their surface. This allows them to bind specific target molecules. Interference is reduced by blocking non-specific binding sites.,1.0,D
S049,3,"Selection criteria: size (affects sensitivity), surface chemistry (affects conjugation), stability (affects reliability), biocompatibility (affects safety), cost (practical consideration).",1.5,C
S049,4,"LOD is important parameter in analytical chemistry. It's the minimum concentration detectable. Using n=20 replicates of blank, we calculate mean and standard deviation, then LOD = mean + 2SD.",1.0,D
S050,1,TMB gets oxidized to blue color. Nanomaterials make this reaction faster and produce more intense color. This is better than HRP because nanoparticles are more stable.,1.0,D
S050,2,Gold nanoparticles can be biofunctionalized through various methods. Thiol groups bind strongly to gold. Antibodies are attached for specific binding.,3.5,A
S050,3,Size of nanomaterials affects sensitivity. Smaller size means larger surface area-to-volume ratio. This allows more antibodies to attach. Surface chemistry determines ease of functionalization.,2.5,B
S050,4,The Limit of Detection is defined as the minimum concentration that can be distinguished with 99% fidelity. Formula: LOD = 3E/S where E is standard deviation and S is slope.,1.0,D
S051,1,Colorimetric biosensors using nanoparticles for TMB oxidation work because nanoparticles have large surface area and can catalyze the reaction better. The signal amplification is achieved through multiple mechanisms.,4.0,A
S051,2,"Biofunctionalization: Start with AuNPs, modify surface with thiol-containing molecules, attach recognition elements like antibodies, characterize the conjugate. Specificity achieved through selective antibodies.",3.0,B
